word,freq
unemploy,112038
labour,74647
union,71702
manufactur,62202
skill,53561
agricultur,47134
innov,46745
land,45914
food,32088
farm,30448
mobil,28771
equip,24105
oil,23516
professor,21998
cit,20300
enterpris,19433
propens,19082
mine,16765
soviet,16533
rural,15930
leisur,14718
india,14106
steel,13474
tenur,11763
water,11708
machineri,10550
facil,10444
vacanc,9680
capitalist,9027
tech,8506
shadow,8442
cotton,8213
automobil,8052
metal,8039
indus,7927
senior,7926
realloc,7693
marshal,7598
duti,7514
sweden,7502
chemic,7241
railroad,7157
layoff,7114
indian,6873
coloni,6845
sic,6562
iron,6550
auto,6502
gini,6444
gasolin,6304
underdevelop,6236
shipment,5762
petroleum,5756
motor,5700
citat,5574
weather,5497
dustri,5436
director,5320
vintag,5288
factori,5219
height,5102
recruit,5003
entrepreneuri,4863
marx,4852
tobacco,4620
slave,4580
norway,4521
socialist,4424
nolog,4292
freight,4275
valuead,4203
nonunion,4087
rainfal,3844
coffe,3729
swedish,3651
interindustri,3610
ioo,3508
overtim,3475
alcohol,3471
tobit,3436
ussr,3274
forest,3228
fabric,3063
silver,3045
lorenz,3008
sea,3007
haven,3002
placement,2960
harrod,2952
manpow,2944
russian,2912
upgrad,2897
drink,2848
ore,2835
scrap,2806
twodigit,2778
kaldor,2699
poland,2643
onthejob,2634
minist,2609
bloc,2503
hungari,2466
fourdigit,2390
manufac,2390
communist,2357
cement,2348
gatt,2341
leather,2302
saver,2294
underemploy,2291
glass,2230
rubl,2110
bhagwati,2048
agri,2043
mortensen,1992
complaint,1969
beer,1913
entr,1834
pissarid,1825
agricul,1819
niqu,1818
obsolesc,1803
butter,1791
timber,1760
innova,1753
marxian,1717
landown,1708
viner,1706
cheneri,1693
lumber,1692
dustrial,1681
cold,1675
parcel,1653
parliament,1637
wool,1630
rain,1603
nonlabor,1596
hot,1576
tokyo,1542
lord,1541
beverag,1528
hayek,1513
ioi,1471
topel,1447
latitud,1432
czech,1429
barrel,1415
fellner,1414
melitz,1404
jaff,1395
vacant,1383
domar,1376
hightech,1348
shimer,1344
moscow,1335
aluminum,1315
slaveri,1304
industrylevel,1300
norwegian,1277
plastic,1272
pig,1268
abolish,1266
fob,1256
bergson,1249
freetrad,1216
gallon,1194
pct,1180
clay,1176
inno,1175
footwear,1156
abraham,1133
skillbias,1131
nonmanufactur,1126
srinivasan,1116
polish,1100
industrialis,1098
suspend,1098
nontariff,1097
coke,1085
furnac,1067
dunn,1065
slaughter,1039
nonferr,1037
mansfield,1031
abolit,1028
grower,1027
basin,1020
opec,1017
crack,1009
azariadi,988
plantat,984
rupe,973
pipe,972
cain,955
insecur,950
ntbs,947
burdett,928
baili,928
protectionist,920
beveridg,919
laborsuppli,905
sleep,893
importcompet,881
pulp,879
lnl,874
crown,872
tonnag,871
marxist,864
czechoslovakia,862
inch,860
ehrenberg,858
immobl,856
maximand,854
refineri,854
medoff,844
schott,831
erp,822
romania,810
bulgaria,806
unionis,801
delhi,793
fogel,786
unearn,785
dunlop,770
earl,767
colon,765
nonfood,761
automot,759
unincorpor,748
novat,742
ufactur,736
fiber,734
iooo,731
oxygen,723
margarin,717
fei,715
hungarian,715
mage,708
jobless,707
lishment,705
taussig,700
nurks,697
highproduct,687
shorrock,681
pasinetti,680
distil,675
madrid,674
communism,672
tag,660
bengal,658
cif,655
transporta,652
soap,634
ceylon,631
steer,631
goodwin,630
fessor,630
temin,621
conn,621
hunger,615
offfarm,612
ounc,611
slichter,609
laughlin,606
urbanrur,599
myrdal,594
jagdish,588
engerman,586
kerr,579
chees,579
jobfind,569
ntb,568
sweezi,566
retract,566
lagrangean,566
brechl,547
colombian,544
workday,541
nonlabour,541
trajtenberg,534
friedrich,526
cantillon,524
groundwat,522
manyear,520
stalin,518
jute,517
chocol,516
bombay,508
vmt,508
treasur,507
rani,506
facili,501
precious,499
blast,497
subcontract,496
resign,492
metalwork,488
sssr,487
pradesh,485
sek,485
nonmetal,485
unorgan,481
abram,481
waterway,475
rayon,473
lichtenberg,472
collectiv,471
iceberg,469
sixdigit,467
deforest,464
sanit,462
broda,462
brick,456
retrain,456
bulb,455
knit,453
rehir,444
unionnonunion,442
jasni,442
antebellum,441
countrysid,439
bullion,437
laidoff,433
ingot,432
employeremploye,432
shoulder,430
zinc,430
nonoil,428
immiser,427
turer,426
overemploy,423
nordic,422
paglin,422
labourmarket,419
maritim,419
straighttim,415
asm,414
onedigit,413
conrad,411
quantum,411
hosio,411
spurt,409
pigous,409
selfsustain,408
dobb,406
moen,402
gerschenkron,401
fixtur,396
douglass,391
outdoor,388
nonelectr,386
workerfirm,384
cowel,383
sew,383
prebisch,382
optic,381
chrysler,377
rhodesia,367
