word,freq
entri,54111
buyer,48064
bargain,47281
locat,45610
vote,44242
capac,43552
extern,42991
surplus,42452
parti,40119
regul,39287
sell,35452
her,34426
median,30440
monopoli,30432
buy,29244
distanc,28291
experiment,27818
charg,27769
voter,27114
advertis,26566
custom,26381
unobserv,26024
field,25751
physic,23986
optimum,23165
she,22971
enforc,22843
elect,22729
monopolist,22062
hazard,20868
car,20575
candid,18836
energi,16874
store,16771
acquir,16385
cluster,16315
legisl,15666
bind,15413
merger,15166
incumb,15026
fee,14066
geograph,13965
advers,13870
moral,13565
vehicl,13152
maker,13103
trust,12992
markup,12936
user,12906
card,12839
cultur,12394
team,12232
supplier,11737
road,11575
tract,11417
sharehold,11383
psycholog,11278
air,11257
brand,11002
conting,10876
rival,10602
branch,10569
environment,10472
spatial,10422
cell,10296
daili,10228
acquisit,10185
pvalu,10125
wait,9519
competitor,9425
regulatori,9194
mile,9083
travel,9072
mainten,8959
border,8951
democraci,8927
ton,8838
wholesal,8788
citizen,8767
civil,8754
damag,8732
exposur,8694
refin,8527
station,8405
logit,8359
emiss,8235
democrat,8148
compil,8088
instruct,8011
willing,7990
neighbor,7941
bonus,7800
zone,7604
oligopoli,7570
politician,7521
overlap,7484
voluntari,7435
track,7308
elector,7244
climat,7206
ceo,7167
fire,7158
releas,7111
cognit,7078
phd,7060
rout,7050
self,7041
traffic,7025
driver,7017
hedg,6861
shop,6804
load,6797
satisfact,6776
quantil,6719
robinson,6679
dealer,6633
decisionmak,6613
percept,6555
antitrust,6538
deliveri,6493
wast,6425
newspap,6364
cpi,6318
storag,6315
fare,6277
contact,6262
everyon,6222
accid,6206
laboratori,6195
dictat,6188
hart,6096
safeti,5987
disput,5976
faculti,5805
smoke,5749
town,5745
ideolog,5700
media,5595
congest,5581
harm,5574
leas,5572
disciplin,5553
stigler,5514
quartil,5482
highway,5458
instal,5344
justic,5262
hedon,5246
imit,5245
sen,5243
truck,5227
speci,5211
minut,5185
arbitr,5124
refus,5052
window,5005
usag,4930
ordin,4904
elicit,4861
remedi,4818
packag,4724
televis,4637
advic,4608
merg,4601
firmlevel,4575
naiv,4516
tenant,4477
internet,4371
takeov,4358
expos,4345
host,4331
amen,4281
deterr,4281
landlord,4247
oligopolist,4193
competi,4168
temperatur,4149
commut,4118
trip,4069
passeng,4065
constitu,4007
deci,3999
cigarett,3972
clean,3947
subsidiari,3927
unanim,3892
williamson,3882
downstream,3863
trap,3853
injuri,3829
sunk,3811
sentenc,3787
interst,3672
questionnair,3649
platform,3609
mover,3590
chen,3571
radio,3529
ministri,3485
duopoli,3422
weber,3421
excis,3419
affirm,3419
bureaucrat,3416
telephon,3411
carbon,3393
geographi,3314
fight,3302
reprint,3294
elit,3264
disproportion,3233
politi,3222
fatal,3196
virginia,3194
sit,3175
river,3144
softwar,3140
visibl,3134
republican,3100
copi,3087
violent,3037
ver,3012
zip,2996
inertia,2987
heat,2976
poll,2973
agenda,2966
aghion,2963
upstream,2939
supervis,2918
ring,2906
agglomer,2862
presidenti,2827
peasant,2823
cabl,2806
victim,2781
sport,2695
toll,2691
buffer,2686
reelect,2656
persuas,2655
temptat,2639
atlant,2548
movi,2539
subscrib,2538
atkinson,2519
multiproduct,2477
utilitarian,2463
attenu,2442
audienc,2436
legislatur,2429
nearest,2423
mail,2420
lowskil,2396
leagu,2391
chronic,2369
henderson,2361
nonparticip,2359
drill,2336
registr,2262
broadcast,2251
watch,2221
clinic,2220
selv,2218
cancer,2206
turnout,2202
northeast,2199
rivalri,2196
tier,2187
holt,2146
wtp,2104
persson,2072
mismatch,2058
fan,2049
camer,2039
selfcontrol,2035
guidelin,2024
precipit,1971
craft,1945
luck,1932
foreclosur,1927
leonard,1911
fresh,1895
tip,1890
bolton,1884
launch,1881
colin,1878
nearbi,1870
comp,1868
referr,1867
aspir,1858
epa,1851
phone,1846
victori,1837
wager,1828
dam,1828
tacit,1824
besley,1821
diseconomi,1819
vernon,1803
allianc,1802
selfenforc,1771
elev,1750
ballot,1749
belt,1748
georgia,1748
regu,1734
plott,1726
archiv,1719
nls,1718
rosenth,1718
defeat,1713
costbenefit,1709
inattent,1705
pricecost,1700
setter,1695
remuner,1673
whinston,1672
elec,1666
respon,1655
tabellini,1651
fragment,1645
vessel,1634
holiday,1631
fleet,1627
highskil,1597
stackelberg,1595
leakag,1583
magazin,1582
baron,1570
chamberlin,1560
bureaucraci,1549
periment,1548
partisan,1529
veblen,1511
satellit,1508
sooner,1501
weekend,1500
battl,1492
maximin,1471
regula,1470
levitt,1457
arc,1453
warm,1438
underinvest,1427
nordhaus,1423
diagnosi,1423
haul,1397
prestig,1385
kagel,1381
focal,1376
listen,1362
distributor,1361
schmalense,1360
kilomet,1339
smoker,1332
fellowship,1331
prejudic,1321
valley,1317
unregul,1315
pack,1303
tenanc,1301
mileag,1300
ada,1296
inexperienc,1296
monopol,1295
yugoslavia,1290
egg,1289
lean,1286
oswald,1280
hisher,1276
crossbord,1261
mueller,1258
psychologist,1256
shifter,1251
sovereignti,1245
wta,1236
colorado,1232
supermarket,1227
marketplac,1226
bottl,1225
judgement,1225
faction,1221
tullock,1220
turner,1219
recycl,1215
cab,1215
resi,1215
hyperbol,1213
ocean,1207
northwest,1207
conglomer,1203
music,1196
atmospher,1191
ralph,1190
mountain,1180
ployer,1176
taxi,1174
howitt,1174
walmart,1165
groceri,1161
stayer,1158
joan,1157
realtim,1157
houston,1154
twotail,1147
interfirm,1142
exper,1138
benevol,1137
telser,1134
rsquar,1133
onetail,1133
schumpeterian,1120
duopolist,1120
chair,1118
rey,1116
undercut,1115
ftc,1112
wear,1102
reneg,1100
ecolog,1097
predatori,1095
southwest,1092
yard,1087
myer,1087
spin,1079
loca,1078
fcc,1072
consol,1070
oli,1070
trustworthi,1066
plier,1051
dissemin,1051
phds,1050
theater,1047
camp,1046
raider,1046
prosecut,1045
exploratori,1040
tirl,1037
winston,1036
ronment,1034
rehabilit,1034
viscusi,1027
pal,1024
marin,1023
bent,1022
neigh,1019
siev,1018
wolinski,1016
chernozhukov,1013
song,1009
olson,1008
smallscal,1002
farber,998
sharecrop,996
ager,995
exter,991
condorcet,990
individualist,988
emi,985
orang,982
basebal,981
civic,977
dirti,977
alabama,973
atomist,973
pump,963
osborn,962
pipelin,959
tort,952
merten,950
diagnos,948
innoc,941
hoffman,933
slant,927
injur,920
cum,919
africanamerican,918
bush,917
epl,911
cbd,904
surcharg,900
shopper,900
spencer,898
viewer,897
supervisori,897
livingston,888
adver,884
cio,871
upc,868
candi,863
yrs,862
fixedterm,857
iment,856
inframargin,855
yugoslav,853
motorist,851
ipr,849
boxcox,846
abstain,845
tise,844
plural,840
cohes,839
nonus,836
knowhow,834
navig,834
guiso,823
gulf,820
preemptiv,817
smart,816
toulous,816
autom,813
mug,808
prepay,802
coastal,801
disord,799
vendor,798
valenc,797
wesley,795
brainard,794
steal,790
download,789
carpent,787
hardwar,785
cargo,785
bertola,785
oneway,782
toxic,778
unintend,777
plea,776
learner,775
catalog,773
lucki,771
yarn,770
development,770
tranch,761
dioxid,754
hedger,754
hendrick,751
peo,750
pont,746
referendum,746
tomer,743
wpi,742
societ,741
gps,740
timeinconsist,737
shavel,736
click,733
film,722
jen,721
rig,718
wheel,717
leftw,716
distrust,714
dal,707
orga,702
buse,701
sunday,698
routledg,697
christma,694
nonintegr,690
frey,690
rightw,690
pave,687
precaut,686
preemption,686
blair,685
zipf,682
singlepeak,682
kamien,682
odonoghu,679
kick,679
lowpric,675
reid,674
geolog,673
mph,672
activist,672
noncognit,671
rawl,668
atlas,666
thiss,666
greenhous,663
greenston,658
tva,657
intel,654
pitch,652
footbal,652
opium,651
anticompetit,650
indict,650
takeitorleaveit,649
counteroff,647
stata,645
forb,643
reder,641
vertis,635
fossil,635
procrastin,634
duggan,634
frankfurt,634
kramarz,631
unforeseen,631
nopoli,628
siegfri,628
cleaner,628
flag,626
communal,626
googl,624
goodwil,624
marginalcost,621
salon,620
vic,617
shepherd,617
salani,615
journey,612
entiat,611
surveil,609
commune,608
collector,608
paciti,605
scrappag,605
physiolog,603
twoparti,603
bourguignon,601
overnight,601
broadband,601
warp,601
craftsmen,601
vot,598
highlevel,597
cool,596
bardhan,596
willingnesstopay,593
comanor,592
incum,591
secondhand,591
eve,589
raci,589
montgomeri,587
legisla,586
centroid,583
dissatisfi,576
brandt,576
hesh,574
acid,574
earthquak,574
unrest,573
degrad,571
tradeunion,569
preempt,567
obc,567
spa,566
tele,566
foa,564
cessat,560
photo,559
amartya,558
autocraci,556
apl,555
mule,554
highpric,554
zlb,552
dispatch,552
bat,552
overlappinggener,549
misconcept,547
nut,546
vsl,546
anthropolog,546
bacon,545
nox,544
rossihansberg,544
harsh,543
monopo,543
raid,543
fession,541
marker,539
scanner,539
weekday,538
staf,537
roa,537
microsoft,537
leasehold,536
fourfirm,535
maxwel,535
stockmarket,533
gentzkow,532
dic,531
knetsch,530
adverti,529
weintraub,528
marketshar,527
brander,526
radiat,526
dice,526
cheung,523
carryov,522
experimen,521
meansquar,520
underperform,519
bach,518
fel,518
institution,518
undevelop,518
majoritarian,516
eia,515
exclusionari,515
wvs,515
forcement,514
syverson,513
nitrogen,512
solidar,512
rene,511
qlr,509
alto,508
witt,507
server,506
desert,503
lenient,499
kramer,498
ralli,496
weingast,496
rapoport,493
kyoto,493
css,490
malmendi,489
terrain,489
rawlsian,488
dewey,488
grievanc,485
referenda,485
koenker,485
carriag,484
kohlberg,483
ven,482
camera,481
disson,480
hendel,480
feddersen,479
underrepres,477
rangel,477
interc,475
mpg,474
lung,474
nonloc,472
roemer,471
dist,471
dellavigna,469
ferejohn,467
battalio,463
synergi,463
gms,459
occ,458
warehous,458
runoff,458
prendergast,457
abid,457
reactiv,457
kip,457
airplan,455
sociodemograph,455
costreduc,455
renc,455
flower,453
pam,452
relationshipspecif,447
duranton,447
pow,447
kerri,447
unqualifi,447
drainag,445
panzar,445
withinfirm,444
kolmogorovsmirnov,443
petitor,443
lizzeri,442
authoritarian,440
tsp,440
intrast,438
academia,436
weav,436
schotter,435
mba,434
madrian,434
saturday,434
blp,433
lans,433
selfmanag,433
longitud,432
cts,431
journalist,430
democ,430
spindl,430
collis,429
nopolist,429
olist,428
congressmen,428
mohr,427
nave,427
foreclos,425
instruc,425
cadr,423
carson,423
dilig,421
ruleofthumb,420
polygon,420
logrol,417
pbs,416
amc,415
lago,415
revolt,414
evict,413
toyota,412
middleclass,412
extremist,411
workmen,409
intraday,408
postmerg,407
chevali,407
schulz,406
tragedi,406
legi,406
tercil,405
subaddit,405
fixedr,405
malleabl,404
bone,403
axl,402
bedroom,402
redeploy,401
foremen,400
rebellion,400
abstent,400
extremum,400
bdm,400
pedersen,399
selfregul,399
vega,398
unverifi,398
lott,396
cincinnati,395
mpi,394
austensmith,393
wednesday,393
freeway,393
pickup,392
alcoa,392
gubernatori,392
ltl,391
lindert,391
cles,391
premerg,390
bartelsman,390
unexplor,389
saintpaul,389
stag,388
manhattan,388
populist,388
autocrat,388
vocabulari,386
crane,385
bnabou,384
markham,383
chu,383
neural,382
cumbent,382
automak,382
marvel,381
transnat,380
greenhut,379
noncompar,379
ewa,377
sapienza,377
supermajor,374
northeastern,374
gase,372
cabral,372
jus,370
icl,370
nih,370
sandler,369
dant,369
presentbias,368
huyck,367
cog,366
enk,366
wildcat,366
cnc,365
haz,365
tuesday,363
hadley,363
olley,362
lippman,361
facetofac,361
carr,360
mendelsohn,360
petrin,358
bath,358
cpe,357
lauri,356
sinai,355
coach,353
perlman,352
mouth,352
costbas,352
clus,352
fsa,352
agarw,351
cafe,351
inflect,350
authent,350
quasihyperbol,349
knack,348
nfl,348
mahalanobi,348
acquisi,348
kitchen,347
minn,347
tradein,347
procompetit,345
meckl,345
shallow,344
dish,344
fujita,344
secess,344
sober,343
nato,343
nudg,342
klevorick,342
punit,341
didat,341
hitch,340
fournal,340
lave,340
gratif,339
keefer,338
lowtech,336
reclaim,336
alonso,336
readership,336
prestigi,335
doyl,334
isp,334
nighttim,333
kugler,333
rolph,333
precinct,332
goolsbe,331
button,329
milan,329
joriti,329
