word,freq
game,102503
player,85448
payoff,66373
bid,48222
seller,43393
auction,42412
uniform,29581
cooper,27790
bidder,25969
nash,23727
network,23613
round,23499
switch,22191
win,20935
conflict,19888
monitor,16625
lotteri,16444
axiom,15490
coalit,15005
sustain,12892
programm,12673
punish,12636
leader,12415
reput,12010
messag,11943
spot,10848
threat,10837
session,10796
cutoff,10792
nois,10572
admiss,10240
posterior,9875
discontinu,9676
visit,9257
credibl,9230
diffus,9208
penalti,9145
stiglitz,8705
manipul,8654
trial,8575
binari,8320
attack,8025
bet,8000
renegoti,7992
winner,7972
green,7857
asymmetri,7628
submit,7445
beta,7350
reciproc,7204
levin,6933
award,6902
oppon,6795
prize,6722
arm,6444
expert,6444
uninform,6373
firstbest,6224
prioriti,6149
contest,6028
inspect,5897
deleg,5784
subgam,5628
quo,5514
trigger,5323
procur,5238
send,5110
defend,5092
talent,4926
stake,4864
disclosur,4863
hierarchi,4854
noncoop,4761
tree,4664
talk,4625
defect,4582
moor,4571
dilemma,4498
ethic,4497
milgrom,4461
tirol,4452
club,4389
donor,4257
intrins,4177
wedg,4125
cheap,4122
roth,3878
maskin,3852
delta,3818
aggress,3772
bertrand,3751
rebat,3642
firstperiod,3523
interim,3523
concess,3517
alpha,3514
fudenberg,3490
cardin,3465
tournament,3326
repair,3225
compromis,3218
secondperiod,3120
rubinstein,3115
highqual,3110
franchis,3089
involuntari,3049
curs,3012
evolutionari,3006
pivot,2991
donat,2922
kahneman,2812
color,2758
crawford,2585
incen,2583
chariti,2568
harrison,2543
laffont,2529
addict,2480
disclos,2476
myerson,2473
denni,2464
tverski,2463
unfair,2455
axiomat,2411
ree,2328
epstein,2305
shapley,2301
rabin,2299
selfinterest,2266
hors,2241
emot,2235
holmstrom,2229
interperson,2211
principalag,2174
fehr,2144
charit,2122
thaler,2117
savag,2104
compli,2090
rationaliz,2084
fiat,2065
phi,2064
aumann,2061
layer,2050
anchor,2027
hierarch,2006
oneshot,1979
vickrey,1970
penal,1955
urn,1948
nism,1926
ride,1916
unprofit,1909
firstpric,1896
lowqual,1896
subordin,1892
lambda,1882
veto,1850
theta,1839
strategyproof,1827
immun,1809
sigma,1804
harsanyi,1744
twoperson,1743
expertis,1707
schmeidler,1685
secondstag,1663
brain,1611
disjoint,1611
folk,1576
retali,1569
holdup,1564
riley,1552
seal,1533
hull,1522
secondpric,1521
wild,1515
pearc,1515
preston,1497
palfrey,1491
entropi,1490
breach,1484
subgameperfect,1469
sobel,1439
supermodular,1431
salop,1402
ernst,1393
slot,1391
alchian,1383
fictiti,1367
parliamentari,1365
neumannmorgenstern,1359
loom,1357
chip,1353
rho,1341
ellison,1332
rmse,1331
loewenstein,1330
cho,1325
blume,1321
ascend,1310
lemon,1294
mcafe,1293
selten,1287
centiv,1283
disposit,1274
auc,1268
gametheoret,1268
mpe,1259
bulow,1257
paretoeffici,1254
undomin,1249
twopart,1244
clock,1240
guilti,1227
vincent,1227
avg,1212
mcmillan,1206
submiss,1202
quasilinear,1195
abreu,1191
cue,1186
ultimatum,1165
tau,1152
bettor,1150
dictatorship,1142
schneider,1133
krishna,1125
sun,1120
unravel,1119
stereotyp,1111
syndic,1111
processor,1110
athey,1110
terror,1106
overinvest,1104
luce,1093
paretian,1071
supergam,1069
epsilon,1065
fullinform,1064
multiunit,1049
binmor,1041
herself,1039
ebay,1026
klemper,1019
beat,1012
machina,1010
coop,1003
hole,1000
skin,1000
counsel,991
uri,989
fundrais,988
guilt,980
shot,978
mailath,969
shubik,968
eta,965
renegotiationproof,963
satiat,959
aviv,957
sutton,952
dewatripont,945
fishburn,944
dekel,944
deploy,943
ratchet,943
solicit,934
amo,932
myopia,931
bestrespons,927
tiebreak,927
inspector,922
rider,920
mutat,919
armstrong,914
asym,904
pbe,902
falk,900
maxmin,896
satterthwait,896
ausubel,892
gambler,892
cake,871
interplay,871
upfront,858
mckelvey,855
che,853
lowrisk,851
macleod,847
donaldson,844
moulin,840
superstar,835
sealedbid,831
rochet,824
dfi,810
jehiel,804
raiffa,801
nperson,800
reni,798
overbid,797
warfar,797
coup,790
mookherje,789
gilboa,783
cdot,770
minmax,770
vix,763
ellsberg,762
bag,760
gibb,758
edi,756
isaac,750
shake,745
shortest,739
itn,733
fixedpric,730
wilcoxon,730
kalai,729
coopera,728
wolfgang,727
bomb,726
pts,723
riot,717
marinacci,715
addon,715
bandit,714
congruenc,708
vil,705
fixedpoint,701
higherqu,697
sugden,696
falsifi,693
yellow,690
nonaddit,683
singlecross,682
notrad,680
warranti,675
tupl,672
ledyard,667
flavor,667
widget,666
overweight,661
flict,657
malcomson,648
twoplay,647
tour,646
gneezi,645
misrepres,643
unsurpris,643
penni,642
terrorist,635
rankord,634
martimort,631
suffrag,629
costshar,628
nalebuff,625
forgiv,625
tribe,624
stranger,624
pra,623
nagel,622
biai,621
mitment,620
mimick,615
denecker,613
chew,610
cramton,606
nonnul,598
perunit,596
captiv,596
privaci,593
kandori,591
visitor,588
sappington,586
clr,584
grether,583
vicker,579
mathstrutc,578
referencedepend,574
cremer,573
ingroup,573
boss,568
ding,560
collier,560
jun,558
obrien,558
wakker,554
riordan,553
rjv,549
metri,543
stacchetti,542
solvabl,537
fsp,531
fischbach,531
mall,530
hygien,527
nontransfer,524
nonexpect,521
mccabe,519
tore,519
swinkel,518
mller,515
ginti,515
solicitor,512
ockenfel,511
lipman,508
erc,508
paa,507
felic,504
geq,503
peleg,503
och,502
logconcav,501
gramm,500
allpay,500
replica,499
chooser,495
coalitionproof,493
damm,493
soci,490
heroin,487
nonexclus,487
karni,487
sorensen,486
shoot,485
adversari,484
pll,483
rct,481
goere,480
borough,478
forsyth,478
ecu,476
prosoci,476
cession,474
hatr,465
firstround,464
tick,464
tft,462
mutant,462
disconnect,461
holmstrm,461
dilip,458
cca,455
mathia,455
srivastava,453
slovic,453
vicious,450
abdulkadiroglu,450
cholog,448
scc,446
eic,445
vohra,445
qre,443
uniformpric,441
meier,440
impur,439
custodi,438
clearinghous,438
clotfelt,437
horner,436
provoc,436
outgroup,435
bestrepli,435
trembl,434
cheaptalk,434
teri,433
seu,432
vnm,432
ipv,432
lighter,430
jeanjacqu,428
submodular,425
bne,422
quantal,422
arnott,422
maccheroni,421
invad,420
kareken,419
irb,418
gainloss,417
typei,417
moldovanu,417
mclean,417
commonvalu,417
sshape,416
pad,416
rior,416
mathstrutmboxboldmath,416
takahashi,415
sidepay,415
combinatori,412
pmax,411
grab,411
glazer,408
koszegi,406
tsyvinski,406
prosecutor,405
subcontractor,404
multitask,404
coordina,403
mcmc,402
pathak,400
skrzypacz,399
infti,397
pun,397
quid,394
cripp,393
leq,393
gli,392
grim,391
moreira,389
perrign,388
hey,387
franchise,384
frontload,382
farsight,382
mannwhitney,381
niederl,381
mili,381
sack,380
mclennan,380
besanko,377
defector,376
superaddit,376
peacock,374
dominantstrategi,374
gia,373
misrepresent,372
shum,372
barberi,372
reputa,370
fearon,369
tts,368
quiggin,367
centiped,365
workload,362
saul,361
amador,361
flatrat,358
involuntarili,358
prr,356
crosssubsid,356
inhous,355
dufwenberg,354
retrench,351
fpa,351
kojima,351
radi,351
prelec,350
extensiveform,349
automaton,349
apex,348
asher,347
sandroni,347
bri,346
brandenburg,345
normalform,344
gam,342
fens,342
snmez,341
coali,341
secondhighest,341
reinhard,340
fershtman,340
selfgener,338
mmc,338
chess,337
risklov,337
eckel,336
outbid,335
icr,332
tollison,331
qpq,331
paternalist,330
erev,330
ottaviani,329
nonequilibrium,329
admi,328
privatevalu,325
congruent,324
ttc,323
clan,322
garbag,322
anger,321
paarsch,321
dpx,320
wellisz,320
goyal,320
singleunit,320
entrylevel,319
jullien,319
bgp,318
preorder,318
chib,318
matsushima,317
safra,317
novic,316
flyer,316
buyersel,316
lowerqu,314
hermalin,314
palma,314
lach,314
ceu,314
stagegam,313
ellingsen,313
attractor,312
inadmiss,312
ntu,312
munshi,312
benston,310
otherregard,309
mcclelland,309
daw,309
philanthropi,308
mediocr,307
kirchsteig,307
klibanoff,306
swim,305
polinski,305
prc,305
golf,305
showup,304
dubey,304
flb,301
tade,300
carlsson,300
kappa,300
diplomat,299
pcl,298
underbid,298
knightian,297
anton,296
costagom,296
pss,295
faruk,294
credi,292
amex,292
frm,291
barbera,291
matthia,291
rankdepend,291
sba,291
zamir,290
nile,290
ghirardato,290
noussair,289
tester,289
ergin,289
enfranchis,289
rpe,289
choquet,285
hate,284
guerr,283
lowtyp,282
middleman,282
lichtenstein,280
lightn,280
halevi,280
eso,278
incl,277
wca,277
hamlet,277
acd,277
basqu,276
nonverifi,276
isr,275
threeway,275
holbrook,274
mcadam,274
hatfield,274
repullo,273
leffler,273
simultaneousmov,271
laborleisur,270
ile,269
evolutionarili,269
vcg,269
pbt,269
starmer,269
reichelstein,268
ellickson,268
armin,267
gabszewicz,266
implemen,265
tainabl,264
croson,264
vmax,264
rse,264
sensat,263
glow,262
priest,262
dejong,260
underweight,260
phl,260
weigelt,260
nsc,260
wageeffort,259
prom,259
steinberg,259
reachabl,258
offequilibrium,258
rightarrow,258
bester,257
hightyp,256
battig,255
noninform,255
favourit,254
edlin,254
comonoton,254
racetrack,253
twotyp,253
bern,251
cootner,250
porteus,249
gchter,249
guth,249
yahoo,248
cfa,248
huck,248
whig,247
sureth,247
obfusc,247
sotomayor,247
riskdomin,246
chat,246
bhaskar,244
echeniqu,244
koop,243
tinuat,242
nlls,242
asynchron,241
cliqu,240
modular,239
antisoci,239
olszewski,239
gachter,239
hortasu,238
nonmanipul,238
shame,238
multiparti,237
hair,237
piv,236
messeng,234
legro,234
marti,233
bait,233
appetit,233
kleibergen,232
neurosci,231
casella,231
aggriev,231
noncooper,231
satting,230
gertner,228
murnighan,228
equalweight,228
botond,227
tmax,227
peq,226
irrit,226
kartik,226
sonmez,226
hale,226
dfw,224
haller,224
benartzi,223
vesterlund,222
prb,222
itzhak,221
dessein,221
olymp,221
overrul,221
sutter,221
kszegi,220
ostrac,220
subcoalit,220
qll,219
decisiontheoret,219
hml,218
dine,217
eequilibrium,217
vdv,217
twopric,217
lafontain,216
neuron,216
cleavag,215
lagunoff,215
lossavers,214
ehud,214
nicolini,214
covert,213
asch,213
eagl,213
siniscalchi,212
propertyright,212
gsi,212
freixa,211
vind,211
reer,211
topa,211
muriel,210
piccion,210
pak,210
semiord,209
