word,freq
match,67182
learn,45994
extern,42991
rank,37664
heterogen,37097
her,34426
post,33549
option,32591
expans,31533
commit,29290
unobserv,26024
intermedi,25123
discrimin,24272
global,23012
she,22971
repeat,22735
elect,22729
attain,22413
formula,22360
imperfect,22220
switch,22191
connect,22033
distort,21857
man,21549
ant,20711
legal,19959
threshold,19889
strike,18693
bad,17781
said,17223
him,17193
uniti,16914
monitor,16625
arriv,16550
acquir,16385
violat,16228
delay,16110
proper,15831
circumst,15524
ship,15127
incumb,15026
california,14581
noth,14543
sometim,14475
methodolog,14331
boundari,14223
block,14182
friedman,14101
fee,14066
experienc,13915
asymmetr,13704
trust,12992
sustain,12892
speed,12745
dispos,12696
freedom,12613
fewer,12605
evolut,12522
academ,12464
prevail,12395
tradeoff,12252
presid,12207
unpublish,12113
ideal,12078
court,11614
perceiv,11586
samuelson,11514
acceler,11476
convert,11384
realli,11241
appreci,10844
stress,10784
familiar,10625
neoclass,10487
defens,10451
johnson,10295
council,10267
recommend,10070
fisher,9965
conserv,9873
reliabl,9856
readili,9732
stream,9680
wait,9519
est,9517
horizont,9507
equi,9370
whatev,9341
postul,9326
congress,9314
scenario,9006
gradual,9004
democraci,8927
des,8911
citizen,8767
damag,8732
librium,8504
dramat,8493
cast,8421
daniel,8382
der,8353
himself,8162
aea,8149
democrat,8148
highlight,8128
attack,8025
odd,8021
willing,7990
seminar,7966
neighbor,7941
denc,7903
stephen,7868
email,7807
exam,7791
grossman,7786
asymmetri,7628
realiti,7565
solow,7547
titl,7535
politician,7521
exhaust,7394
cap,7388
assur,7287
elector,7244
etal,7182
releas,7111
hick,7056
settlement,7038
vidual,7016
diagram,7013
sumer,6892
satisfactori,6873
join,6794
undertak,6746
complementari,6723
disequilibrium,6687
approv,6684
conceiv,6538
street,6502
flat,6435
wast,6425
confin,6412
newspap,6364
lem,6342
art,6332
fare,6277
frank,6273
infor,6266
box,6189
chose,6156
prioriti,6149
lot,6070
unstabl,6029
room,6011
disput,5976
yale,5932
san,5924
inspect,5897
absent,5896
undertaken,5872
underestim,5837
ideolog,5700
uct,5668
indebt,5597
media,5595
harm,5574
proxim,5507
qualif,5505
collaps,5489
suit,5479
socal,5425
suspect,5387
instal,5344
merit,5326
trigger,5323
siti,5281
abandon,5265
hedon,5246
sen,5243
stitut,5240
speci,5211
adam,5149
arbitr,5124
ical,5092
defend,5092
linkag,5036
elementari,4934
autonom,4921
amend,4916
scientist,4891
jeffrey,4888
prod,4878
disclosur,4863
rigor,4855
remedi,4818
amer,4812
quantifi,4776
illus,4696
tree,4664
donald,4626
dismiss,4622
klein,4612
ari,4611
seat,4506
shed,4499
foster,4499
dispar,4491
routin,4482
toler,4447
lewi,4447
jorgenson,4435
nonfarm,4419
ran,4412
personnel,4360
moditi,4294
unilater,4286
deterr,4281
sam,4256
dot,4210
valuead,4203
besid,4198
quir,4184
intrins,4177
radic,4170
occupi,4130
overestim,4087
eric,4084
dom,4056
territori,4043
assembl,4025
virtu,4007
unequ,4005
shapiro,3985
clean,3947
supplementari,3939
escap,3924
baumol,3901
fiveyear,3881
someon,3871
relief,3815
envelop,3812
sentenc,3787
idl,3749
complianc,3747
claus,3740
subsist,3731
schwartz,3716
peac,3705
undesir,3702
partnership,3639
mcfadden,3633
insist,3627
mover,3590
passiv,3567
stein,3550
concess,3517
mitchel,3513
ital,3475
tabul,3445
affirm,3419
appoint,3411
hear,3402
dealt,3401
deplet,3399
nonmarket,3393
told,3369
master,3332
nous,3315
illinoi,3306
fight,3302
sat,3301
wisconsin,3296
indivis,3282
ela,3275
rep,3266
prescript,3223
shrink,3205
apt,3195
virginia,3194
vation,3158
river,3144
transmit,3120
deadweight,3117
shade,3115
ici,3115
intellig,3109
twoperiod,3106
republican,3100
interpol,3065
indefinit,3064
outflow,3064
everyth,3059
silver,3045
catch,3037
categor,3034
haven,3002
intro,2990
philip,2988
mrs,2987
francisco,2983
unifi,2978
poll,2973
agenda,2966
neighbourhood,2957
harrod,2952
discriminatori,2951
contractor,2941
impati,2938
prompt,2931
absorpt,2931
overview,2929
supervis,2918
indeterminaci,2851
presidenti,2827
enlarg,2821
alesina,2817
stringent,2807
scrap,2806
queue,2782
timat,2765
color,2758
shortcom,2758
bruce,2741
ohio,2738
australian,2723
reelect,2656
kim,2645
imprecis,2644
judici,2624
stern,2614
disagre,2613
consecut,2595
mimeograph,2588
hopkin,2581
unadjust,2560
atlant,2548
patinkin,2545
genuin,2538
patrick,2507
glaeser,2501
jel,2492
unreason,2481
contin,2477
disclos,2476
unclear,2455
ulat,2454
burn,2435
struct,2433
divert,2421
influenti,2412
litig,2403
cohen,2380
calculus,2368
expropri,2357
weapon,2340
pigou,2339
foregon,2335
lin,2316
pervers,2292
underemploy,2291
atom,2287
mayer,2271
scatter,2235
emot,2235
tin,2232
buchanan,2228
interperson,2211
irrat,2204
turnout,2202
secretari,2192
liberalis,2179
embed,2171
contributor,2166
explos,2161
panic,2155
costa,2145
barri,2145
conced,2130
fullemploy,2125
collabor,2124
clusion,2122
wtp,2104
twoyear,2100
compli,2090
marshallian,2072
persson,2072
sight,2069
nuclear,2061
ushap,2052
twosector,2050
jack,2035
nichola,2025
guidelin,2024
tage,2016
depth,2015
hierarch,2006
substi,2001
infrequ,1998
vest,1995
privileg,1992
longev,1990
sach,1987
strand,1976
complaint,1969
onset,1958
penal,1955
hicksian,1949
calcu,1949
depriv,1942
carl,1933
quar,1924
farther,1911
leonard,1911
farrel,1909
refut,1907
lancast,1903
tip,1890
bolton,1884
copyright,1879
verbal,1875
supervisor,1871
nearbi,1870
fallaci,1861
aspir,1858
ted,1845
victori,1837
strat,1834
kansa,1831
philipp,1830
dam,1828
pertin,1822
besley,1821
bloom,1820
diseconomi,1819
consent,1816
depen,1810
allianc,1802
reconsid,1801
neous,1791
coat,1781
hunt,1780
rogerson,1768
withhold,1766
inv,1759
substitu,1753
disentangl,1753
enumer,1751
elev,1750
expec,1749
ballot,1749
indiana,1748
formanc,1743
nanci,1742
insul,1732
metzler,1727
appro,1721
archiv,1719
sloan,1716
obser,1715
defeat,1713
wicksel,1711
love,1710
wind,1710
irwin,1710
costbenefit,1709
ine,1708
aaa,1700
setter,1695
dissav,1692
empiri,1692
bull,1684
statut,1682
gun,1677
night,1676
proc,1674
voic,1672
elec,1666
respon,1655
radius,1652
tabellini,1651
favorit,1650
holiday,1631
eisner,1627
chris,1625
brain,1611
applica,1608
cir,1604
repress,1601
demo,1593
harper,1590
carnegi,1586
leakag,1583
prone,1582
outofpocket,1557
gilbert,1551
andrea,1547
super,1547
keith,1544
devia,1535
itiv,1530
paint,1529
partisan,1529
mer,1503
realism,1498
preston,1497
arbor,1492
erag,1484
cagan,1477
advan,1471
stat,1470
hetero,1466
vietnam,1459
plaintiff,1449
compl,1440
fomc,1435
icant,1434
latitud,1432
fox,1431
brunner,1428
nordhaus,1423
artist,1417
envisag,1416
diffi,1414
autonomi,1410
eri,1405
gpa,1404
previ,1399
roland,1399
deadlin,1399
guido,1385
das,1384
geo,1382
sincer,1379
domar,1376
perienc,1375
daron,1375
reassur,1369
parliamentari,1365
duesenberri,1355
countervail,1347
mat,1343
rho,1341
determi,1337
unreli,1336
expan,1335
ellison,1332
ternal,1332
avert,1332
fellowship,1331
anecdot,1322
sizeabl,1320
coars,1318
valley,1317
neil,1314
curious,1314
httpdxdoiorgaer,1311
escal,1307
laissezfair,1306
yeartoyear,1293
subcommitte,1293
dislik,1282
fraud,1282
twoway,1282
construc,1278
unob,1264
bulow,1257
scitovski,1255
circuit,1245
newer,1242
wta,1236
richardson,1231
suf,1231
considera,1228
unproduct,1227
guilti,1227
marketplac,1226
bottl,1225
suspens,1223
faction,1221
tullock,1220
interac,1219
loop,1216
recycl,1215
hyperbol,1213
conduc,1210
mps,1207
nel,1197
abc,1194
hay,1185
forese,1182
cat,1181
provement,1177
yang,1176
cre,1175
berger,1174
unmatch,1172
thrift,1167
eleg,1166
ultimatum,1165
needless,1158
ath,1151
jose,1148
mech,1147
capitallabour,1146
xavier,1143
smuggl,1142
dun,1142
transient,1141
intim,1138
commission,1137
cia,1136
feet,1135
discrimina,1135
tactic,1131
holm,1129
economiqu,1124
highpow,1121
chair,1118
tral,1118
recur,1114
ell,1113
companion,1107
terror,1106
pricelevel,1098
suspend,1098
twentyf,1097
oth,1095
madison,1090
lui,1088
reiter,1083
timeconsist,1079
geneous,1078
homicid,1070
damp,1067
trustworthi,1066
upsw,1066
superfici,1064
mercial,1063
hinder,1060
mathematician,1055
craig,1055
dissemin,1051
strata,1045
inasmuch,1040
modem,1039
herself,1039
wagner,1038
diagrammat,1037
nowher,1032
advisori,1030
whichev,1027
ibl,1024
legaci,1023
infinitehorizon,1022
bent,1022
basin,1020
neigh,1019
dissent,1019
shortliv,1017
dem,1012
missouri,1010
leibenstein,1010
farber,998
meaningless,992
forgo,992
ling,992
satisfactorili,991
counsel,991
snyder,989
antonio,989
azariadi,988
hunter,986
roman,984
silent,982
recours,982
guilt,980
shot,978
civic,977
dirti,977
underscor,976
soe,973
dubious,962
choi,961
nonresidenti,961
anid,959
tort,952
thereof,950
insecur,950
arat,950
spur,950
benabou,948
reynold,946
ral,945
deploy,943
ratchet,943
unif,928
homewood,927
slant,927
inland,926
nitud,923
endur,923
refriger,922
hat,920
bush,917
cms,917
thirdparti,914
armstrong,914
neat,914
iic,912
pocket,910
culti,909
binat,907
goldstein,903
reckon,903
cipl,901
reenen,900
founder,899
prudent,896
unpub,896
attorney,896
concert,892
noncompli,882
suicid,880
enemi,880
ficienc,879
zurich,877
crown,872
imat,867
novelti,866
erogen,866
nadiri,863
nie,863
inch,860
interrelationship,858
neo,856
inframargin,855
dimen,848
presuppos,847
lesli,846
simulta,838
mellon,838
statistiqu,837
pendix,835
harcourt,835
drazen,835
invas,831
stratum,830
laissez,824
sidney,821
seigniorag,820
publica,819
heterog,818
preemptiv,817
eman,816
longstand,810
confess,810
understat,810
mug,808
peripher,805
coercion,805
vendor,798
singleperiod,797
warfar,797
barcelona,795
overturn,794
jeff,793
rachel,793
coup,790
carpent,787
hori,786
forum,786
breadth,786
hardwar,785
pile,783
oneway,782
plea,776
nobel,776
minima,776
juan,776
ppo,775
cult,774
parenthesi,773
pric,772
sand,772
lucki,771
rebel,771
forg,769
seattl,763
anxieti,762
lyon,760
computer,759
nicola,758
labormanag,756
dissatisfact,754
goodnessoffit,754
hsieh,753
scottish,752
gss,749
compt,749
unincorpor,748
veal,747
stringenc,742
xeffici,741
aptitud,741
shortest,739
cea,737
darbi,735
formu,734
sal,732
wilcoxon,730
iiic,729
chemistri,727
bomb,726
casualti,723
mood,721
wing,721
truste,719
sociologist,718
leftw,716
fei,715
distrust,714
laidler,714
cukierman,714
bauer,709
congruenc,708
ingeni,707
tune,707
homog,707
bryan,705
jerom,702
distor,698
gan,694
christma,694
rightw,690
ehrlich,688
precaut,686
len,686
mishan,685
cali,683
nonuniform,683
mayb,682
sce,681
pasinetti,680
commodi,676
shipbuild,675
cabinet,674
explod,673
recherch,669
ridg,668
oversight,668
imaginari,667
laura,662
essex,660
mispercept,659
judith,659
vio,659
greenwich,658
tva,657
undo,657
bhattacharya,655
rai,653
steiner,651
opium,651
dental,650
batteri,649
orbit,648
interm,648
tautolog,647
missil,646
puttyclay,646
unhappi,645
stata,645
toric,644
webb,643
mike,639
terrorist,635
unnecessarili,635
conservat,633
arous,633
goodwin,630
confi,630
cleaner,628
shorthand,626
hickss,624
temp,623
hicksneutr,622
techni,620
awkward,619
torsten,618
fromm,618
grossli,616
alert,616
cra,615
mcconnel,613
queu,613
jin,612
ounc,611
monetar,608
collector,608
laughlin,606
universidad,603
twoparti,603
leap,603
politiqu,600
dupuit,599
spi,597
tale,596
superflu,595
dog,594
myrdal,594
willingnesstopay,593
incum,591
balk,591
secondhand,591
coerciv,590
milit,589
raci,589
arrear,587
nis,587
selffinanc,585
centroid,583
eff,579
pmt,579
mathstrutc,578
thresh,577
zhu,576
rejoind,572
imperson,572
gal,569
tigat,569
annex,567
preponder,565
rateofreturn,565
commonplac,564
nixon,564
foa,564
unconvent,563
obrien,558
autocraci,556
judiciari,556
assi,556
kent,556
toral,555
denci,554
wong,553
snow,553
pigouvian,553
divest,551
rjv,549
patron,547
misconcept,547
leftward,546
disc,546
putnam,546
fession,541
switcher,541
intric,539
overt,538
dell,537
pascal,537
cassel,537
lionel,535
maxwel,535
joy,534
gentzkow,532
disciplinari,531
deconomi,530
momentari,530
lockin,528
msm,524
chs,522
noteth,522
obviat,521
sydney,521
ayr,521
credenc,521
boulder,520
ison,520
onstrat,519
tore,519
adjud,518
schmitz,518
hen,517
pdp,516
bio,516
majoritarian,516
balling,515
wvs,515
outgo,512
durham,508
flex,508
alto,508
treasur,507
server,506
awt,506
toni,504
portabl,504
gis,503
troop,503
nection,501
unsatisfi,500
intoler,500
tortur,499
kramer,498
dishonest,497
nonsens,496
plp,495
datum,494
fluid,491
fuzzi,490
xxiv,489
taxonomi,488
suspici,488
nonroutin,487
illegitim,486
xlix,486
benign,485
presi,485
pll,483
ven,482
silverman,482
camera,481
inapplic,480
rangel,477
hayn,477
pope,476
tribun,476
grey,476
propaganda,476
archibald,475
hardi,475
clinton,474
oversimplifi,473
pci,473
gallup,473
xlv,472
roemer,471
comparativestat,471
stockflow,471
crowdingout,470
tes,470
vancouv,468
ferejohn,467
mentor,467
ece,466
transcript,463
citizenship,463
dirk,463
probat,463
afghanistan,462
bisin,462
postkeynesian,461
lawsuit,458
kaufman,458
bordo,457
knot,456
obe,456
renc,455
gle,454
tantamount,454
fkk,454
pam,452
chamley,451
hickman,451
kathryn,449
selfevid,449
xxxiv,445
zur,444
xineffici,442
authoritarian,440
couch,440
dubin,440
mension,438
stoppag,437
squatter,436
flf,436
hess,435
baa,434
impass,434
bas,433
lans,433
sie,433
longitud,432
disapprov,431
champernown,431
physicist,431
discrim,430
emul,430
journalist,430
democ,430
jeanjacqu,428
oscar,428
fraser,427
lviii,425
clair,425
carson,423
dilig,421
invad,420
detract,420
posabl,419
pompeu,418
unoffici,418
irb,418
pbs,416
chemist,415
outputcapit,415
pigovian,415
distast,415
customarili,414
irvin,414
clearest,414
jewelri,413
evict,413
dub,412
giusepp,412
extremist,411
feinstein,411
loi,410
stevenson,410
reswitch,409
prosecutor,405
turvey,404
reinsur,403
relinquish,403
resta,402
alm,401
nick,401
goo,401
detach,400
rebellion,400
selfregul,399
nra,398
mep,398
revu,397
precursor,396
manday,395
outof,395
capitalsav,394
buck,393
gubernatori,392
diamet,392
terior,391
examina,391
bowman,390
obedi,389
rca,388
stag,388
dalton,388
manhattan,388
eduardo,388
populist,388
autocrat,388
margi,387
miti,387
mativ,385
enclos,385
crane,385
divin,385
sabotag,385
simpson,384
workerfirm,384
endofyear,384
cowel,383
ete,383
cumbent,382
simplist,382
nonrenew,381
uneasi,381
sack,380
nullifi,380
pmi,379
noncompar,379
sine,379
disclo,378
ape,377
besanko,377
conserva,376
globe,376
mendat,376
schlesing,376
injunct,375
harrodneutr,375
supermajor,374
ahm,374
erasmus,373
profitmaximis,372
lxvii,372
fought,370
nicholson,370
garcia,370
cac,369
tts,368
national,368
trativ,367
threeperiod,367
choke,367
silenc,366
enk,366
