word,freq
cycl,56064
spend,50290
locat,45610
day,39737
longrun,36448
gap,30188
slope,30031
perman,29296
distanc,28291
persist,27323
access,26337
schedul,26169
flexibl,25884
pool,25688
macroeconom,24918
format,24013
versus,22064
fig,21215
anticip,21129
proxi,20491
agenc,20486
cit,20300
parenthes,20299
exclus,20183
conduct,20168
disturb,20056
conflict,19888
book,19807
provis,19701
sort,19547
minor,19150
shortrun,19102
systemat,18924
pass,18782
cut,18714
agre,18308
smith,17994
cyclic,17789
exercis,17784
forward,17704
michael,17474
divis,17404
decad,17184
oxford,17141
mine,16765
upward,15811
perspect,15735
legisl,15666
drive,15592
read,15335
promot,15205
peak,15187
tendenc,15134
explanatori,15120
miss,15089
temporari,14993
nber,14932
recess,14924
bear,14871
content,14675
paul,14652
document,14589
son,14517
intervent,14400
causal,14318
insignific,14281
doubt,14265
ground,14185
advers,13870
middl,13471
thoma,13164
tween,13081
engag,12854
driven,12816
attitud,12786
encourag,12555
scope,12515
criteria,12504
reader,12339
col,12311
divers,12274
western,12265
mutual,12227
cite,12087
mind,11928
secondari,11919
raw,11813
rela,11679
edit,11673
tor,11664
spent,11578
adequ,11510
sharp,11430
bottom,11355
superior,11331
america,11318
supplement,11291
phillip,11271
stay,11253
forthcom,11126
summer,11101
taylor,10963
hope,10959
east,10958
opinion,10749
prepar,10669
feel,10525
speak,10391
someth,10325
page,10323
request,10305
devic,10282
moder,10218
eight,10217
tool,10192
whom,10148
background,10144
charl,10129
priori,10112
took,10108
challeng,10093
faster,10048
debat,10024
martin,9880
strength,9846
narrow,9831
incur,9786
bodi,9721
discontinu,9676
translat,9593
intend,9527
print,9430
becam,9326
elsewher,9309
essay,9204
brought,9196
fell,9196
duction,9091
emphasi,9088
judgment,9080
transitori,8906
commerc,8865
attach,8715
brook,8709
parallel,8614
enjoy,8594
wrong,8583
refin,8527
ployment,8508
letter,8485
popular,8390
unabl,8365
instabl,8209
automat,8207
big,8147
quot,8139
green,7857
anyth,7852
pictur,7819
began,7814
embodi,7789
stimul,7656
absorb,7647
joseph,7640
draft,7618
marshal,7598
boston,7596
clude,7568
staff,7533
piec,7528
stori,7500
nine,7490
alli,7460
voluntari,7435
heavili,7384
eral,7383
disadvantag,7373
met,7364
macro,7349
que,7333
sharpli,7318
track,7308
gen,7304
favour,7290
disappear,7272
denomin,7232
resolv,7143
sur,7118
gordon,7116
safe,7097
phd,7060
self,7041
came,7007
disaggreg,6935
greatest,6908
paradox,6872
frame,6858
crude,6837
jan,6800
satisfact,6776
hypothet,6696
departur,6682
doctor,6620
cur,6604
reinforc,6593
fill,6582
subtract,6562
percept,6555
fear,6530
unaffect,6526
spring,6519
band,6506
tobin,6494
thousand,6490
handbook,6478
alan,6436
sult,6422
simon,6417
inelast,6381
prime,6370
forth,6368
mid,6334
steven,6285
twenti,6272
contact,6262
everyon,6222
king,6217
discrep,6199
necess,6192
eas,6179
interdepend,6173
topic,6171
clark,6166
heavi,6144
built,6141
prohibit,6129
viii,6127
subsid,6103
qualifi,6086
writer,6084
rand,6074
gate,6070
shorter,6068
discov,6033
davi,6029
walk,5962
bar,5926
gave,5866
tstatist,5865
jone,5864
recov,5853
danger,5850
accru,5848
succeed,5841
kept,5824
controversi,5807
intent,5787
bulletin,5761
pennsylvania,5753
scarc,5721
impress,5627
soon,5607
preval,5600
microeconom,5598
fifth,5571
confus,5555
disciplin,5553
proportion,5521
deterior,5510
petit,5493
warrant,5471
deni,5453
gram,5435
editor,5433
settl,5406
finish,5405
fortun,5405
surfac,5383
accomplish,5365
pos,5365
wood,5358
macmillan,5349
director,5320
elabor,5310
centr,5286
aug,5276
entitl,5272
ceteri,5255
eastern,5251
afford,5245
lectur,5232
unusu,5225
num,5224
factori,5219
spite,5219
ago,5186
allen,5174
paribus,5163
mitig,5130
react,5126
inferior,5105
fast,5105
discourag,5060
refus,5052
ses,5035
plain,5024
fruit,5017
newli,4932
usag,4930
pronounc,4911
inevit,4889
paragraph,4877
stake,4864
circl,4851
unrel,4849
addi,4802
predetermin,4801
christoph,4776
resist,4760
packag,4724
ought,4720
affair,4704
stan,4674
ampl,4670
henri,4655
aggr,4638
talk,4625
guess,4619
advoc,4615
tem,4604
asid,4601
mistak,4598
unanticip,4582
underst,4575
benefici,4574
onethird,4567
went,4555
profess,4553
wise,4549
overst,4547
bought,4503
park,4492
grew,4486
dan,4481
wit,4469
administ,4468
certif,4461
symbol,4443
socialist,4424
era,4413
predomin,4364
resolut,4359
defici,4353
expos,4345
matthew,4305
weiss,4302
bulk,4287
breakdown,4284
thereaft,4279
calendar,4278
gather,4271
apprais,4247
pol,4239
pertain,4236
dash,4234
passag,4222
mediat,4220
felt,4215
orient,4214
government,4206
insuffici,4204
readi,4180
competi,4168
thirti,4101
twelv,4094
freeli,4084
recognit,4065
happi,4059
consult,4051
rememb,4047
prosper,4043
roger,4042
chief,4034
sound,4032
hundr,4030
inadequ,4027
concret,3975
los,3966
scarciti,3932
ticular,3928
poorer,3926
spectrum,3916
destroy,3913
undoubt,3899
sought,3895
williamson,3882
angel,3879
saw,3838
ireland,3834
arthur,3795
theorist,3772
advis,3768
ross,3765
jacob,3753
compound,3709
sociolog,3682
chase,3679
slower,3673
swedish,3651
questionnair,3649
ben,3639
omiss,3637
generous,3632
ceas,3608
deliber,3593
irrespect,3588
mari,3540
honor,3535
occas,3527
ioo,3508
mandat,3503
twothird,3494
novel,3476
overtim,3475
alcohol,3471
fallen,3459
fring,3457
blue,3440
fac,3428
convey,3413
alleg,3407
pat,3395
popula,3392
probabilist,3388
troubl,3386
anim,3382
widen,3381
electron,3378
sacrific,3373
res,3369
feed,3365
largescal,3359
manifest,3351
imbal,3350
harder,3344
sudden,3339
deserv,3338
command,3337
vulner,3317
reprint,3294
textbook,3293
kahn,3279
anyon,3266
disproportion,3233
repair,3225
compromis,3218
russel,3217
sizabl,3205
abus,3204
legitim,3199
relianc,3196
enorm,3194
ban,3194
bor,3194
outlier,3190
cheaper,3189
dont,3189
heart,3182
hill,3180
peculiar,3175
twentieth,3163
threaten,3160
hamilton,3141
milton,3134
visibl,3134
lesser,3127
postpon,3125
philadelphia,3111
workforc,3108
interven,3100
scholar,3099
temporarili,3074
ticiti,3067
grown,3061
ourselv,3060
countercycl,3052
lerner,3025
fstatist,3021
hoard,3019
trough,3018
ver,3012
nega,3010
lang,3009
surround,3008
sea,3007
laid,3005
retent,2979
fifteen,2966
web,2965
gone,2965
placement,2960
manpow,2944
closur,2943
granger,2934
bigger,2933
knight,2927
minnesota,2922
ooo,2920
enact,2905
exagger,2900
institu,2895
coef,2894
penetr,2883
unweight,2882
confound,2880
caveat,2878
highincom,2877
thorough,2869
logist,2864
eli,2855
ativ,2851
wholli,2848
tentat,2843
rea,2836
obstacl,2835
colleagu,2834
tural,2830
esp,2822
specialist,2815
irrevers,2809
adher,2804
restaur,2799
deep,2795
stanley,2790
decay,2785
vital,2773
perpetu,2769
fifti,2763
standpoint,2757
devis,2755
worri,2730
vate,2721
worsen,2714
pear,2690
inclin,2672
persuas,2655
wall,2645
timothi,2641
theme,2630
ist,2623
front,2619
bal,2618
disrupt,2611
incen,2583
incident,2576
ticip,2575
slowdown,2559
regret,2554
undergradu,2551
prise,2550
erenc,2548
quotat,2542
mem,2540
wisdom,2537
quasi,2501
stamp,2500
istic,2498
warn,2496
izat,2463
wonder,2455
dale,2453
strongest,2445
bernank,2443
phrase,2442
attenu,2442
pacif,2442
style,2429
legislatur,2429
nearest,2423
mail,2420
philosophi,2418
grand,2416
nonprofit,2413
robin,2404
knew,2397
followup,2396
alfr,2396
schmidt,2384
frisch,2381
contend,2370
downturn,2359
famous,2339
morgan,2338
spanish,2329
conscious,2314
tution,2314
overlook,2312
blinder,2307
onward,2305
librari,2296
matic,2286
joel,2286
reexamin,2285
worldwid,2277
gregat,2273
babi,2272
interregion,2267
visual,2261
arguabl,2261
unitari,2258
reconstruct,2253
han,2250
unfavor,2240
alexand,2240
throw,2232
sphere,2225
samuel,2220
selv,2218
karl,2212
mis,2209
vigor,2202
centrat,2199
northeast,2199
allevi,2199
oneyear,2190
windfal,2188
spike,2185
interfer,2176
albert,2176
ameri,2173
dev,2167
economywid,2166
ait,2165
creativ,2164
duplic,2162
gaug,2158
faith,2156
xii,2152
tape,2138
contempl,2136
huge,2131
pain,2123
got,2123
und,2116
christian,2113
vision,2102
substanc,2093
differenceindiffer,2087
emphasis,2084
summaris,2074
sep,2073
remot,2073
chi,2070
businessmen,2069
layer,2050
chairman,2039
caballero,2038
curtail,2032
anchor,2027
unlimit,2018
struggl,2003
acut,2002
dampen,2000
skeptic,1999
scf,1998
expon,1996
meltzer,1994
todd,1990
comfort,1988
salienc,1976
howard,1971
expend,1968
claimant,1967
myself,1960
berg,1960
characteri,1959
umn,1958
urg,1952
impair,1950
customari,1949
restrain,1947
amplitud,1940
inflex,1935
vers,1929
ineffect,1927
murray,1919
hostil,1917
reinvest,1912
somehow,1910
touch,1909
corp,1909
eye,1906
precommit,1905
ensu,1902
fresh,1895
somewher,1893
subordin,1892
unsuccess,1892
opera,1891
vagu,1887
tomorrow,1886
entertain,1886
carrol,1883
persuad,1882
launch,1881
orthodox,1880
forti,1877
massiv,1875
technol,1872
pen,1860
tvalu,1859
oscil,1856
vantag,1852
effec,1849
mie,1837
tension,1833
adequaci,1832
remind,1829
wager,1828
inspir,1828
lipsey,1824
eugen,1822
disappoint,1822
vey,1819
steep,1816
spec,1814
rica,1813
pas,1812
continent,1810
inst,1809
immun,1809
unbalanc,1808
collar,1799
foot,1793
butter,1791
susan,1789
productiv,1783
tinu,1783
santa,1778
dissip,1777
conclu,1775
svensson,1764
manchest,1763
reviv,1756
cliff,1753
brian,1748
elaps,1743
mist,1741
conceal,1741
illumin,1739
merchandis,1737
stuart,1736
chiefli,1734
inhibit,1724
tration,1720
rosenth,1718
priat,1717
inhabit,1716
bust,1715
penn,1710
expertis,1707
err,1706
ordinarili,1705
seldom,1694
outward,1692
threeyear,1687
philosoph,1684
equilibr,1681
voluntarili,1678
homo,1676
cold,1675
lock,1669
flatter,1665
lloyd,1662
bob,1662
reorgan,1660
actor,1656
unwil,1656
lessen,1651
fragment,1645
historian,1644
tighter,1643
compress,1641
mistaken,1638
kremer,1637
qual,1636
thumb,1635
bailey,1633
pectat,1633
visavi,1633
prin,1621
coeff,1619
fri,1614
tel,1612
volunt,1610
situa,1608
stick,1597
marc,1592
circular,1589
surg,1584
fourteen,1582
taker,1580
hot,1576
apparatus,1567
nec,1567
synchron,1561
ltd,1553
sequent,1542
lord,1541
causat,1533
kendrick,1531
suscept,1529
counteract,1523
monograph,1518
caught,1517
ite,1512
veblen,1511
bold,1508
dead,1508
speech,1502
intensifi,1501
sooner,1501
strang,1500
tifi,1491
advisor,1491
mil,1488
synthesi,1485
arizona,1483
zeckhaus,1483
victor,1479
swiss,1478
bene,1475
factual,1471
ioi,1471
everybodi,1469
cure,1464
beauti,1460
thirteen,1450
tan,1447
ice,1446
meal,1443
squeez,1442
bine,1438
stood,1435
norton,1432
dichotom,1429
repercuss,1426
zhang,1425
lester,1419
englewood,1418
fellner,1414
generos,1411
shortfal,1407
reg,1407
lift,1405
tenyear,1404
direc,1399
disincent,1397
propon,1396
ernst,1393
blame,1389
prestig,1385
uneven,1381
mac,1356
door,1356
chip,1353
steve,1353
sess,1347
extraordinari,1346
chamber,1343
amongst,1337
supplysid,1335
tar,1335
pih,1332
strotz,1327
tra,1324
prejudic,1321
pleasur,1320
peri,1320
gation,1320
profound,1319
slump,1315
requisit,1315
deepen,1314
ism,1311
eighteenth,1310
macroeco,1308
workabl,1308
mishkin,1305
symptom,1300
sixti,1299
conspicu,1299
intersector,1299
cameron,1298
businesscycl,1290
dol,1290
clearcut,1286
rat,1285
rhode,1282
selec,1280
oswald,1280
dicat,1277
stretch,1275
disposit,1274
rec,1273
lengthi,1272
intact,1271
wooldridg,1270
abolish,1266
okun,1266
sibil,1266
unduli,1265
confidenti,1262
mason,1259
elizabeth,1259
enlist,1258
randal,1258
aggrav,1258
tremend,1258
sluggish,1256
dex,1256
flaw,1255
alien,1252
fort,1245
leon,1242
xiii,1242
irish,1242
galbraith,1238
wherev,1234
wealthier,1233
defenc,1232
deed,1229
strip,1228
plenti,1227
editori,1227
clearer,1226
anti,1225
parabl,1224
threemonth,1222
unus,1220
frustrat,1219
courag,1219
turner,1219
arellano,1218
lengthen,1216
atlanta,1214
avg,1212
deepli,1209
payabl,1207
spars,1204
sev,1203
submiss,1202
xiv,1201
tit,1200
gear,1200
newman,1199
embrac,1198
unavoid,1195
participa,1195
haberl,1192
agement,1190
inadequaci,1185
specialti,1183
bowen,1181
prematur,1177
techno,1177
franco,1176
frederick,1175
quirement,1175
overshoot,1175
ivb,1174
howitt,1174
clarendon,1173
dichotomi,1173
perma,1172
queen,1170
inconclus,1170
longerterm,1168
satur,1165
hume,1161
lon,1160
wherein,1159
quest,1158
joan,1157
turnovski,1156
houston,1154
wagepric,1148
sue,1148
unfil,1143
breakeven,1142
mount,1141
zeroprofit,1140
guard,1139
biggest,1137
rsquar,1133
abraham,1133
schneider,1133
