word,freq
matrix,50647
path,46645
converg,46164
asymptot,38463
stochast,34607
endow,31863
target,31379
homogen,22738
confid,22387
stationari,21456
pareto,21207
spread,20477
regular,20367
root,19712
criterion,18504
horizon,17604
map,16834
notat,16694
intertempor,16282
sup,16029
shortterm,15671
serial,13887
ith,12050
exp,11795
parametr,10080
hansen,9947
autocorrel,9585
autoregress,9227
matric,8800
micro,8005
cointegr,7853
puzzl,7847
subscript,7800
diagon,7591
overlap,7484
nonzero,7481
tight,7402
feedback,7108
diamond,6961
wiley,6904
die,6860
nondur,6443
cpi,6318
filter,6184
skew,6178
truncat,6168
solid,5958
geometr,5793
unexpect,5741
rewrit,5265
unconstrain,5179
vanish,5059
dimension,5008
window,5005
campbel,4901
jth,4700
maxi,4670
scalar,4663
roll,4519
annal,4501
rewritten,4327
wright,4279
euro,4160
eigenvalu,4073
watson,4037
foresight,3877
numerair,3832
subperiod,3730
phelp,3723
gaussian,3616
trajectori,3522
inf,3487
fischer,3432
myopic,3365
secondbest,3304
spectral,3210
univari,3168
procycl,3131
tangent,2937
nonstationari,2821
stabilis,2803
koopman,2748
stationar,2740
rogoff,2724
lagrang,2687
buffer,2686
singular,2669
steeper,2622
aij,2589
insensit,2554
engl,2513
houthakk,2479
calvo,2402
tighten,2400
kth,2397
bea,2382
stagger,2354
degener,2340
nonsingular,2283
plim,2211
chow,2165
summat,2121
triangular,2067
ric,2010
sargan,2002
slutski,1953
propag,1947
zellner,1943
euclidean,1935
nonsepar,1876
ayt,1863
durbinwatson,1859
tangenc,1857
nuisanc,1857
det,1836
semidefinit,1824
opl,1816
durbin,1789
arch,1765
garch,1755
mle,1744
vec,1714
obstfeld,1654
jacobian,1642
spline,1630
arma,1615
nipa,1612
abel,1608
aii,1602
swap,1587
hyperinfl,1553
greenwood,1546
hendri,1519
johansen,1512
brock,1511
dgp,1510
chiappori,1504
cos,1495
genc,1487
priceset,1485
wharton,1473
usd,1440
subspac,1432
debit,1432
lagrangian,1425
yti,1424
maddala,1405
ramey,1398
tth,1397
nonneutr,1390
xij,1387
dow,1368
axt,1353
quandt,1326
amemiya,1322
nondegener,1319
dit,1297
xix,1295
shephard,1294
biometrika,1257
bradford,1241
fes,1209
emu,1198
twodimension,1193
api,1193
springer,1180
lipschitz,1162
perron,1157
hannan,1157
pesaran,1149
gallant,1141
optimis,1140
tbill,1136
springerverlag,1135
conver,1123
eigenvector,1123
pindyck,1115
nonnest,1111
cass,1101
quenci,1097
solvenc,1089
asymp,1059
expr,1054
jerusalem,1049
goldfeld,1043
coo,1025
sheshinski,1023
nonnorm,1022
kurtosi,1022
highfrequ,1012
wold,1008
maxima,1006
totic,999
autocovari,998
edmund,994
rap,994
finitesampl,989
morishima,986
xti,984
med,984
fourier,983
rothenberg,977
bollerslev,975
accident,963
cij,960
noncentr,960
nonstationar,956
nonconst,945
yij,944
pis,943
eij,941
mator,927
ixi,916
pip,913
laborsuppli,905
offdiagon,904
opn,893
