word,freq
household,142324
unemploy,112038
labour,74647
union,71702
hous,69213
counti,24441
immigr,22890
migrat,22775
fertil,21975
poverti,21383
resid,19774
cultur,12394
mortgag,11853
estat,10211
nativ,10142
municip,8702
exposur,8694
english,8439
residenti,7840
racial,7599
disabl,7238
selfemploy,7077
segreg,6678
metropolitan,6405
nonwhit,5365
religi,5109
unem,5045
talent,4926
decil,4780
island,4622
amen,4281
compulsori,4120
nonunion,4087
veteran,3775
schultz,3363
religion,3348
negro,3161
ftest,3138
nonagricultur,2899
rotat,2796
church,2775
finan,2630
msa,2547
homeown,2543
cathol,2364
mayor,2109
refund,1952
poorest,1943
tenth,1904
ssi,1765
nonemploy,1747
jewish,1744
eitc,1721
smsa,1690
refuge,1639
puerto,1569
owneroccupi,1526
assimil,1439
msas,1371
jew,1339
borja,1314
muslim,1282
islam,1254
clock,1240
resi,1215
detroit,1169
stayer,1158
securit,1144
metro,1136
rico,1135
countylevel,1125
suburb,1059
subprim,1047
hirsch,1007
ssa,1007
foreignborn,1003
rear,1002
immi,998
ghetto,960
homeownership,956
ninth,955
highabl,932
tertiari,928
profici,925
africanamerican,918
outmigr,915
yjt,887
pjt,882
smsas,867
parson,854
prepay,802
unionis,801
miami,796
migra,790
palm,781
ravallion,766
mort,750
refinanc,744
ltv,730
thornton,720
trillion,710
chiswick,709
visa,700
householdlevel,691
fha,682
unsurpris,643
shill,636
god,627
communal,626
tiliti,609
jane,607
esteban,602
urbanrur,599
fractil,581
heritag,580
luttmer,577
mainland,574
tradeunion,569
anthropolog,546
rossihansberg,544
dential,536
nonhous,520
nativeborn,519
sect,502
grogger,501
fico,500
nonpoor,498
todaro,495
inmigr,492
nonsouth,489
bhps,487
singlefamili,478
rican,471
deced,466
ssdi,461
unionnonunion,442
mian,435
quigley,434
spoken,422
dustmann,415
femalehead,413
wjt,413
bedroom,402
headcount,400
metropoli,397
pov,396
countrywid,388
freddi,380
gyourko,374
householdspecif,366
asylum,365
fecund,361
merril,360
jackman,352
vet,348
underclass,348
soy,347
enclav,341
loantovalu,340
sufi,340
undocu,340
downpay,339
soi,336
ottoman,334
politan,332
oakland,322
iab,318
oreopoulo,316
blomquist,308
burkhaus,306
anthropologist,302
nlrb,298
darker,285
bathroom,284
immigra,282
doepk,279
resettl,277
djt,275
dds,274
childrear,272
phaseout,272
disamen,268
racism,267
lns,266
kopczuk,266
holi,262
cuban,262
nonveteran,259
gee,259
religios,258
rasmussen,258
massey,254
methodist,253
wealthhold,250
steelwork,247
realtor,245
prejud,240
saiz,239
yearround,235
friedberg,232
segr,232
eda,230
workingclass,227
pretransf,225
typograph,225
antipoverti,224
smolenski,222
giuliano,222
fnma,221
munici,219
hud,219
withinhousehold,218
clergi,217
dariti,216
uaw,215
denton,213
unionist,213
yinger,210
snap,210
vigdor,210
phasein,207
counterclockwis,206
holmlund,206
croix,206
fpm,205
owneroccup,203
teamster,201
msalevel,201
unemp,200
gwartney,200
plummet,200
incapac,197
wheaton,195
ead,194
footag,192
roback,192
bergmann,191
mortgageback,191
kristin,191
mooney,191
nonmetropolitan,189
quantityqu,189
featherbed,189
usborn,188
ulman,186
erzo,184
segrega,184
eissa,183
sga,181
countyspecif,181
nonsouthern,179
salvat,179
gious,178
lampman,177
dora,177
luther,175
bender,175
yjs,175
homebuy,172
theolog,171
sjaastad,171
ssc,171
statebyyear,170
lch,170
rdd,168
ziliak,166
welsh,163
heather,161
withinc,160
pulsori,156
regat,156
paliti,156
preacher,156
deport,155
kearl,151
plotnick,151
kuran,150
rappaport,149
interraci,149
baptist,149
infertil,149
leighton,148
shister,148
unionmanag,147
fanni,146
butz,144
toledo,143
brazer,143
unioniza,142
linneman,142
davanzo,142
bct,140
assessor,140
eran,140
hancock,139
honolulu,139
lowri,139
countyyear,136
groot,135
empl,135
lcs,135
wojciech,135
yanni,134
multifamili,134
compul,134
congreg,133
cbr,132
englishlanguag,131
frchet,131
crosscultur,131
maesta,130
hobbi,130
joulfaian,129
bibl,129
atif,128
racist,127
propoor,127
nondis,127
posttransf,126
fallout,126
ropolitan,126
piet,125
hornbeck,124
ortalomagn,123
stapleton,123
guttentag,121
upbring,121
posur,119
unempl,118
worship,118
disabil,117
dernburg,116
burr,115
passel,115
ipal,114
ansley,114
cheshir,113
clf,112
byrn,111
ecclesiast,111
boija,110
jornsteffen,110
intraunion,109
lowess,109
fink,107
harlem,106
wjk,106
multicol,106
nada,105
schism,105
menial,105
schumach,103
untim,103
seru,102
sumit,102
logincom,102
noninstitution,100
glish,100
pious,100
willen,100
mccleari,98
overrepresent,98
stepup,97
prayer,95
stacey,95
nonnat,95
eriksson,94
fujiwara,94
intercens,94
fane,94
engelhardt,93
mullen,92
nicip,91
nagi,89
procreat,88
alfonso,88
sanderson,88
perimet,88
pollakowski,88
labourcapit,87
swann,87
gaag,87
duca,86
nonmortgag,86
aerial,85
rosenfeld,83
schivardi,83
pray,83
fresno,82
makework,82
preunion,82
malehead,80
nonreligi,79
mormon,79
metropol,78
qualityquant,78
whitenonwhit,77
storey,77
nonimmigr,76
voln,76
schizophrenia,75
nonem,75
intrac,74
withincounti,73
garbarino,73
wff,72
shep,72
mok,71
moynihan,69
municipali,68
brow,68
ssas,68
gilroy,67
selfem,67
basement,66
ghent,65
ssg,65
highunemploy,64
mortenson,63
dilapid,63
uninteract,62
antiunion,61
wichita,60
mahlon,60
ashen,59
ameni,58
renteroccupi,57
murat,57
frederico,57
itan,57
rite,56
timur,56
sermon,56
interurban,55
goldner,55
lowin,53
beneficia,50
olof,50
ligious,50
glenview,49
predestin,49
supplydriven,48
banize,48
pieti,47
preju,46
demogra,44
