word,freq
manufactur,62202
plant,49016
rent,39736
agreement,28729
field,25751
communiti,25536
network,23613
south,21961
car,20575
electr,18671
north,17418
energi,16874
rural,15930
negoti,15400
india,14106
vehicl,13152
pollut,13059
user,12906
ethnic,12159
water,11708
fuel,11639
road,11575
air,11257
mill,10658
environment,10472
site,10454
spatial,10422
bilater,10282
daili,10228
southern,9976
visit,9257
mile,9083
travel,9072
gas,8994
ton,8838
licens,8712
languag,8655
wheat,8625
station,8405
emiss,8235
zone,7604
corrupt,7400
carrier,7382
climat,7206
railroad,7157
traffic,7025
indian,6873
coloni,6845
shop,6804
load,6797
les,6606
polic,6519
gasolin,6304
safeti,5987
gift,5968
jurisdict,5864
corn,5805
grain,5729
congest,5581
airlin,5519
weather,5497
highway,5458
bell,5405
acr,5276
justic,5262
truck,5227
minut,5185
northern,4922
fish,4768
tobacco,4620
slave,4580
multilater,4499
aircraft,4426
senat,4401
hotel,4339
miner,4337
freight,4275
donor,4257
temperatur,4149
deregul,4137
cheap,4122
trip,4069
passeng,4065
flight,4061
biolog,3948
rice,3932
rainfal,3844
injuri,3829
sunk,3811
illeg,3756
interst,3672
bribe,3509
rail,3491
ministri,3485
congression,3433
outlet,3417
bureaucrat,3416
attrit,3412
telephon,3411
carbon,3393
literaci,3389
dutch,3248
forest,3228
airport,3209
franchis,3089
railway,3039
heat,2976
donat,2922
nutrit,2921
ring,2906
agglomer,2862
abat,2718
jersey,2706
toll,2691
pour,2579
chariti,2568
royalti,2565
graviti,2555
subscrib,2538
calori,2532
livestock,2471
une,2465
academi,2402
manufac,2390
coast,2382
acreag,2276
tier,2187
fisheri,2168
multidimension,2154
shoe,2125
charit,2122
toronto,2083
recreat,2027
treati,2005
applianc,1976
precipit,1971
craft,1945
tiebout,1913
famin,1911
kill,1880
lake,1876
survivor,1856
epa,1851
phone,1846
lowcost,1835
suprem,1793
timber,1760
georgia,1748
qui,1712
oat,1673
veget,1653
parcel,1653
dump,1635
vessel,1634
fleet,1627
rain,1603
tea,1580
hub,1552
bureaucraci,1549
muniti,1546
lane,1495
tennesse,1493
southeast,1490
maximin,1471
levitt,1457
dairi,1442
warm,1438
dress,1406
loyalti,1403
haul,1397
highcost,1386
mississippi,1383
plantlevel,1382
sherman,1367
athlet,1358
loom,1357
intak,1350
steam,1319
slaveri,1304
pack,1303
troll,1301
mileag,1300
norwegian,1277
testimoni,1255
colorado,1232
tough,1216
ocean,1207
telecommun,1206
gallon,1194
atmospher,1191
prix,1191
bai,1191
mountain,1180
icc,1147
directori,1127
nonmanufactur,1126
kentucki,1099
industrialis,1098
ecolog,1097
bien,1095
predatori,1095
shipper,1091
yard,1087
spin,1079
uncontrol,1056
prosecut,1045
sont,1039
oregon,1034
foodstuff,1032
benefitcost,1032
danish,1032
ozon,1031
viscusi,1027
cas,1026
marin,1023
crew,1017
crack,1009
diet,1001
commu,1000
morn,996
dakota,991
eppl,989
fundrais,988
extinct,987
indigen,986
northsouth,985
emi,985
plantat,984
clearanc,984
liquor,978
rupe,973
pipe,972
solar,968
pump,963
aux,958
tout,955
alaska,944
fonction,941
boat,937
linguist,936
solicit,934
cett,928
sulfur,927
inspector,922
bushel,913
utah,905
mai,901
shopper,900
antidump,897
tee,890
nutrient,880
tonnag,871
erad,871
cio,871
refineri,854
motorist,851
speaker,845
valeur,842
munic,841
nonrespons,836
navig,834
peut,829
rochet,824
gulf,820
diesel,819
orlean,810
coastal,801
soybean,796
delhi,793
embargo,791
fogel,786
cargo,785
toxic,778
yarn,770
cleanup,768
colon,765
aus,763
bag,760
dioxid,754
kidney,749
settler,744
ufactur,736
fiber,734
homeland,732
caribbean,730
reservoir,725
cater,721
fao,719
fishermen,719
dune,712
nichol,712
kwh,710
calor,705
friday,690
conley,690
yellow,690
wet,688
pave,687
communi,685
zipf,682
distil,675
mph,672
transplant,669
rawl,668
atlas,666
thiss,666
avec,665
greenhous,663
greenston,658
farmland,658
bengal,658
cloud,650
justin,649
wincoop,646
drought,639
fossil,635
ceylon,631
flag,626
nebraska,624
sierra,623
aviat,623
amalgam,622
temin,621
joskow,620
journey,612
monday,610
tank,609
scrappag,605
soit,603
warp,601
sow,598
cool,596
premier,595
influx,595
divestitur,594
longdist,591
visitor,588
engerman,586
emit,585
license,584
locomot,584
meme,577
acid,574
dye,572
loyal,568
obc,567
obes,560
ruralurban,560
petrol,558
vkt,557
mule,554
highpric,554
dispatch,552
deux,551
eth,549
itc,548
bacon,545
nox,544
raid,543
fait,542
workday,541
barley,540
laundri,535
decontrol,534
nunn,528
garden,527
radiat,526
groundwat,522
isard,522
pirat,520
pine,520
thermal,518
forcement,514
solicitor,512
nitrogen,512
tonmil,508
bombay,508
outag,508
vmt,508
witt,507
ambient,507
beckmann,504
vermont,503
telegraph,499
ralli,496
kyoto,493
giver,493
donc,489
tougher,488
pradesh,485
hog,485
carriag,484
hast,484
cropland,483
borough,478
cane,477
waterway,475
interc,475
mpg,474
rayon,473
quil,472
kraus,472
nonloc,472
rapport,472
captain,466
deforest,464
sanit,462
turkish,460
pixel,457
airplan,455
cca,455
kilowatt,452
tiation,449
duranton,447
panzar,445
risqu,445
fran,444
wolfer,443
antebellum,441
weaver,440
impur,439
intrast,438
rubinfeld,436
oak,436
weav,436
boe,435
saturday,434
wolak,433
afternoon,431
ancestor,430
spindl,430
bicycl,429
mannheim,429
pastur,428
congressmen,428
mohr,427
turer,426
mieszkowski,424
kranton,423
polygon,420
maritim,419
peakload,418
grandfath,418
consomm,416
leur,415
hla,414
donn,414
lrd,412
toyota,412
conrad,411
sown,410
roi,409
briberi,409
ransom,409
intraday,408
alor,408
pollu,406
schulz,406
subaddit,405
kilogram,404
axl,402
electrif,397
tanner,395
bairoch,395
hydro,394
wednesday,393
freeway,393
wacziarg,392
pickup,392
graft,391
ltl,391
douglass,391
particul,391
superfund,389
outdoor,388
hydroelectr,386
mfg,386
cest,386
extort,386
vocabulari,386
franchise,384
deceas,384
sew,383
automak,382
negotia,379
greenhut,379
chrysler,377
donohu,377
woodruff,375
desk,374
rugged,374
gase,372
btu,372
fte,371
township,367
ajr,366
puls,365
optout,363
tuesday,363
hadley,363
malnutrit,362
crossov,360
inman,357
ethnolinguist,357
strahan,352
cafe,351
ainsi,348
tradein,347
effluent,347
procompetit,345
shallow,344
fujita,344
comport,344
perloff,343
plumb,342
incomeelast,341
