word,freq
shock,100473
corpor,42762
compani,42152
investor,37306
portfolio,36289
premium,31119
frequenc,23304
trader,22252
entrepreneur,20438
exit,18287
negoti,15400
incumb,15026
speed,12745
news,12266
friction,11292
bilater,10282
fisher,9965
capitalist,9027
ployment,8508
intermediari,8297
bet,8000
carlo,7628
bankruptci,7568
etal,7182
settlement,7038
hedg,6861
load,6797
mont,6757
dealer,6633
kernel,6572
fare,6277
disput,5976
menu,5930
collater,5891
bls,5848
leas,5572
restor,5517
banker,5107
unem,5045
grilich,4966
marx,4852
moor,4571
socialist,4424
unilater,4286
parttim,4049
coin,4027
autarki,3907
bandwidth,3889
deaton,3836
cov,3803
aggress,3772
rebat,3642
lump,3624
appoint,3411
imbal,3350
dutch,3248
blundel,3216
shade,3115
silver,3045
triangl,2989
discriminatori,2951
broker,2807
cabl,2806
sunspot,2721
buffer,2686
stimulus,2626
illiquid,2599
graviti,2555
perri,2512
pani,2491
houthakk,2479
wale,2339
drill,2336
hors,2241
porat,2043
inject,1894
nonwag,1780
garch,1755
jeremi,1752
marxian,1717
leakag,1583
satellit,1508
muellbauer,1412
salop,1402
nonwork,1397
menus,1361
laspeyr,1346
chan,1333
kyle,1320
shephard,1294
shell,1287
twocountri,1269
angus,1263
statedepend,1261
lever,1235
fes,1209
meanvari,1201
lexington,1183
predat,1180
folio,1163
bettor,1150
pesaran,1149
kiyotaki,1143
rajan,1131
crsp,1128
nonnest,1111
syndic,1111
quenci,1097
myer,1087
fcc,1072
exploratori,1040
bankrupt,1040
winston,1036
monotoni,1033
mint,1027
bent,1022
ownpric,1007
nakamura,1007
repudi,991
geanakoplo,977
bollerslev,975
paasch,957
unsecur,957
cain,955
gewek,952
corpo,941
pledg,933
entrepr,917
trad,913
vestor,910
seiz,907
gambler,892
cashflow,881
pencavel,878
preneur,865
marxist,864
lewbel,859
cds,834
seigniorag,820
singleperiod,797
leahi,787
smallsampl,784
ita,770
peck,763
datagener,760
hedger,754
hendrick,751
amplif,744
noncorpor,740
reservoir,725
rig,718
autark,715
jobless,707
ule,703
lfs,694
barten,692
pasinetti,680
geolog,673
mph,672
publicsector,668
markowitz,668
rebalanc,655
interm,648
wincoop,646
hanoch,641
flag,626
neur,614
ounc,611
laughlin,606
dupuit,599
captiv,596
privaci,593
adr,592
heritag,580
multicountri,578
stefan,575
sweezi,566
perfectforesight,565
brunnermei,555
dispatch,552
schole,552
counterparti,528
markus,527
geari,520
middlemen,508
lipman,508
alto,508
easley,505
pixi,504
gorton,501
jackknif,499
lehman,488
bhps,487
lio,484
abram,481
biascorrect,477
lichtenberg,472
qes,470
bifurc,469
pagano,467
steinsson,464
gauss,462
protract,459
chaotic,458
soften,456
mizon,455
tiation,449
prorat,448
laffer,447
fisherian,446
drainag,445
bourgeoi,441
bullion,437
liq,437
hess,435
addingup,435
journalist,430
mediari,427
krishnamurthi,425
guilder,411
polemarchaki,408
crossvalid,407
dobb,406
pedersen,399
centralbank,397
stulz,392
haa,388
haircut,387
inferenti,385
cumbent,382
discont,380
negotia,379
mariotti,375
trepreneur,374
riskreturn,374
nicholson,370
wildcat,366
mossin,365
midrigan,364
itor,362
vayano,359
tesar,359
darrel,356
laggard,355
totalitarian,351
repo,349
bimetal,343
berl,342
highyield,339
risklov,337
pmin,336
periodt,333
nobuhiro,331
barndorffnielsen,329
mkt,328
melt,327
spadi,325
dealership,324
titman,316
lach,314
danthin,313
tanzi,313
nego,309
xiong,307
sunder,303
addilog,303
flb,301
shortsal,301
milesiferretti,301
glosten,299
portfo,299
palo,292
tester,289
frenzi,288
deleverag,288
propheci,287
oeo,286
guaranti,285
bergstrand,284
recover,283
unhedg,280
coinag,279
homestead,277
dfa,274
underreact,271
moskowitz,268
sentana,267
eeckhout,266
covar,265
overfit,265
philippon,261
bohmbawerk,257
baran,254
favourit,254
racetrack,253
wiggin,252
kroner,251
ghysel,251
cootner,250
collat,249
overthecount,249
rebal,248
helliwel,248
shakeout,247
pledgeabl,247
ohara,245
dijk,245
tobia,245
highdimension,245
dbs,244
kindahl,244
spp,243
unload,243
rtp,242
marxism,241
utopian,241
entrust,241
aitsahalia,240
mcaleer,239
lesse,239
criminatori,239
yearround,235
corba,233
yves,233
ustatist,232
metrick,231
aggriev,231
longmemori,230
freq,229
countrypair,228
howe,227
coh,227
simulationbas,226
dimitri,224
singlepric,224
gtl,220
efficiencywag,219
logchang,218
xth,217
balasko,217
twopric,217
koster,216
whitak,215
highspe,215
homer,214
propertyright,212
freixa,211
wile,211
litzenberg,211
pierreolivi,211
grosskopf,211
snp,210
epanechnikov,210
entryexit,209
boyl,209
markettobook,208
kircher,207
datadriven,207
likelihoodbas,206
parimutuel,205
jiang,205
reappoint,205
montecarlo,203
kapit,202
yamey,200
libecap,197
waller,196
strife,196
bilat,196
scissor,196
acharya,193
correlogram,191
hassl,190
talist,190
janssen,187
handtomouth,187
olf,186
nicb,185
tpe,184
peasantri,183
spc,183
sinclair,183
qfl,181
frequen,180
runner,178
roulett,177
lessor,177
interventionist,175
woodburi,175
seismic,172
proletariat,172
emm,172
pqq,171
leser,171
gresham,170
monthyear,170
shortsel,170
hsu,166
mellow,165
giora,165
hashem,165
majluf,164
chou,163
barclay,163
selector,162
profitmak,162
singlefactor,161
grinblatt,159
daytim,159
longstaff,158
jeanmichel,158
ofer,158
yos,158
tdistribut,158
dole,157
supernumerari,156
guarantor,155
serfdom,155
bertaut,154
spatt,154
pendakur,153
holthausen,152
ytf,152
kiviet,151
wce,151
ecar,151
welldiversifi,150
thakor,150
simsek,149
karp,148
woolley,147
factbook,146
mvp,146
coz,145
eisfeldt,145
firemen,145
elmendorf,144
fsc,144
lifo,143
bkk,142
zitzewitz,142
tote,142
dunbar,141
pye,140
heien,140
lohmann,138
logq,137
tib,137
efraim,137
geophys,137
selffin,136
qtheori,136
