,BestLevel,Benchmark,BenchmarkLevel,BestNDGroups,BestNWGroups,BenchmarkNDGroups,BenchmarkNWGroups,MIDModel,MIDRandom,MIWModel,MIWRandom,NormDModel,NormDRandom,NormWModel,NormWRandom,EDModel,EDRandom,EWModel,EWRandom
0,0,0,0,6657,2629,4726,2162,6.549842164567143,6.588899464227179,0.5111852473511869,0.0,10.153455746151147,10.197173535109814,6.749264446664568,7.25479441980641,6.440195961966471,6.588775066851604,3.138998196239113,3.853932704805258
1,0,0,1,6657,2629,568,882,4.421278380972625,4.537348085609115,0.38855262413206115,0.0,10.117995969081115,10.19761227275377,5.8685947413706225,6.806495947171611,4.107725526433885,4.537147336535103,1.9169394768466683,3.1941676928411744
2,0,0,2,6657,2629,48,247,2.4215597249696126,2.1520742925553344,0.2594958194575374,0.0,10.164575986451329,10.19215505172392,5.094728361411843,6.1700938443159,1.9168025443596157,2.152759575914361,1.0577714683414887,2.20463657323055
3,0,0,3,6657,2629,7,29,1.0535867185270493,0.6436015057585023,0.14747156423835922,0.000466112254846764,10.119155063328023,10.152624151983883,4.334455650567196,5.099047461952572,0.5511749692413661,0.6382633039529464,0.3769027427822599,0.822652541610297
4,0,0,4,6657,2629,3,7,0.14048536085450067,0.24054915579263503,0.031112637111684237,0.003346025867658158,8.919648073449924,10.064077302569286,3.9837680666637016,4.388355992844566,0.10811186210188371,0.23882668664129375,0.13563373314067748,0.2631557251888326
5,0,0,5,6657,2629,2,2,0.11617724886850361,0.116962620763958,0.007872275269619304,0.00043773620130217717,8.939490281196301,9.948227310150653,3.4711364700018277,3.7619754030300117,0.08482819742878323,0.11916898082573,0.02519403955218119,0.04439027496345039
6,0,0,6,6657,2629,1,2,0.0,0.0,0.007872275269619304,0.0005518628481449202,,,3.4711364700018277,3.7619761005660624,0.0,0.0,0.02519403955218119,0.04439026307651203
7,0,0,7,6657,2629,1,1,0.0,0.0,0.0,0.0,,,3.415402523764344,3.415402523764344,0.0,0.0,0.0,0.0
8,0,0,8,6657,2629,1,1,0.0,0.0,0.0,0.0,,,3.415402523764344,3.415402523764344,0.0,0.0,0.0,0.0
9,0,1,0,6657,2629,6258,2385,6.828917248115004,6.843178946397206,0.5058006116733336,0.0,10.160394834090756,10.198738612910843,6.797714793272191,7.3038773459656,6.753424901342994,6.843450777943198,3.2138563997528817,4.028146139488835
10,0,1,1,6657,2629,862,982,4.75032574119026,4.94714887371187,0.3628676993389152,0.0,10.107106845503,10.19985095845604,5.987313648885525,6.860195932662977,4.514795005815223,4.947346842573279,2.0694589083670727,3.273645350210545
11,0,1,2,6657,2629,82,250,2.766915241519669,2.6520960255321047,0.23266840530849542,0.0,10.17984107661423,10.194943725241938,5.06676900723111,6.176130833071955,2.336494798391541,2.653060197330681,1.0563911516949356,2.2135159892365435
